appID,name,release_date,price,supported_languages,developers,publishers,categories,genres,tags,metacriticScore
105700,Tobe's Vertical Adventure,"Jul 18, 2011",0.99,['English'],Secret Base,Secret Base,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","Action, Adventure, Indie","Indie, Action, Adventure, Local Co-Op, Platformer, Retro, Pixel Graphics, Local Multiplayer",75
23450,Grand Ages: Rome,"Mar 20, 2009",3.49,"['English', 'French', 'German']",Haemimont Games,Kalypso Media Digital,"Single-player, Family Sharing","Simulation, Strategy","Strategy, City Builder, Simulation, Historical, Rome, Building, Multiplayer, Singleplayer, RTS",72
424840,Little Nightmares,"Apr 27, 2017",19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese', 'Polish', 'Spanish - Latin America', 'Swedish']",Tarsier Studios,BANDAI NAMCO Entertainment,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",Adventure,"Horror, Atmospheric, Adventure, Singleplayer, Puzzle-Platformer, Dark, Puzzle, Indie, Story Rich, Stealth, Platformer, Psychological Horror, Great Soundtrack, 2.5D, Third Person, Survival Horror, Female Protagonist, Short, Action, Strategy",81
1839810,Out Of Hands,"Apr 21, 2025",14.39,"['Simplified Chinese', 'English', 'Japanese', 'Traditional Chinese']",Game River,Game River,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Casual, Indie, RPG, Strategy","Surreal, Card Battler, Multiple Endings, Psychological Horror, Stylized, Psychedelic, Atmospheric, Adventure, Deckbuilding, RPG, Strategy RPG, Hand-drawn, Turn-Based Strategy, Strategy, Thriller, Card Game, Indie, Turn-Based Combat, Singleplayer, Turn-Based Tactics",85
609490,Minit,"Apr 3, 2018",1.99,"['English', 'French', 'German', 'Spanish - Spain', 'Italian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']","JW, Kitty, Jukio, Dom",Devolver Digital,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input, Save Anytime, Steam Cloud, Remote Play on TV, Family Sharing","Adventure, Indie","Minimalist, Adventure, Indie, Pixel Graphics, Puzzle, Singleplayer, Great Soundtrack, 2D, Retro, Funny, Short, RPG, Cute, Action, Exploration, Fast-Paced, Top-Down, Action-Adventure, Casual, Time Management",79
646600,Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos,"Jul 6, 2017",1.01,"['English', 'French', 'German', 'Spanish - Spain']",Celery Emblem™,Celery Emblem™,"Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Indie, RPG","Adventure, Indie, RPG, Pixel Graphics, Retro, Horror, Puzzle, Point & Click, Atmospheric, Singleplayer, Dark Comedy, Story Rich, Great Soundtrack, Lovecraftian",69
1934680,Age of Mythology: Retold,"Sep 4, 2024",14.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Vietnamese', 'Czech', 'Hungarian']","World's Edge, Forgotten Empires, Tantalus Media, CaptureAge, Virtuos Games",Xbox Game Studios,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Steam Cloud, Includes level editor, Family Sharing",Strategy,"Strategy, 3D, RTS, Story Rich, Lore-Rich, Base-Building, Resource Management, Mythology, Fantasy, Singleplayer, Top-Down, PvE, Level Editor, Moddable, Action RTS, Multiplayer, PvP, Co-op, Online Co-Op, Tutorial",83
310490,Crookz - The Big Heist,"Aug 25, 2015",1.99,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Russian', 'Polish', 'Korean']",Skilltree Studios,Kalypso Media Digital,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","Simulation, Strategy","Strategy, Simulation, Heist, Stealth, Tactical, Crime, Real-Time with Pause, Singleplayer",74
386100,Pylon: Rogue,"Sep 21, 2017",14.99,['English'],QuantumSquid Interactive,QuantumSquid Interactive,"Single-player, Full controller support, Family Sharing","Action, Indie, RPG","Action Roguelike, Action, RPG, Indie, Rogue-lite, Rogue-like",50
1413580,The Dragoness: Command of the Flame,"Sep 1, 2022",3.99,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Polish', 'Japanese']",Crazy Goat Games,PQube,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","RPG, Strategy","Turn-Based Tactics, Fantasy, Strategy, Tactical, Grid-Based Movement, Resource Management, Tactical RPG, Dragons, Turn-Based Strategy, Rogue-lite, Exploration, Magic, Strategy RPG, RPG, Story Rich, Turn-Based Combat, Rogue-like, Procedural Generation, Isometric, Singleplayer",59
